	tracked_point	median	Q25	Q75	mean	sd	se	lower_lim	upper_lim
0	l	0.0	-10.0	10.0	-1.115702479338843	18.384636801781763	0.682317867738766	-2.4530455001068248	0.22164054142913847
1	l	-5.0	-15.0	5.0	-3.99290780141844	20.827516918560114	0.7844096673493226	-5.530350749423112	-2.4554648534137673
2	r	0.0	-10.0	10.0	-2.256011315417256	20.787494264073977	0.7817941844166574	-3.7883279168739046	-0.7236947139606071
3	r	-2.5	-15.0	5.0	-4.782913165266106	21.846440733166048	0.8175824962938785	-6.385374858002108	-3.1804514725301045
