	tracked_point	median	Q25	Q75	mean	sd	se	lower_lim	upper_lim
0	left_ankle	0.0	-5.0	5.0	-1.2976022566995769	16.044438901576946	0.6025615509312713	-2.4786228965248682	-0.11658161687428525
1	left_shank	-5.0	-15.0	5.0	-5.367435158501441	19.393074738505234	0.7361510501296512	-6.810291216755557	-3.9245791002473247
2	right_ankle	-5.0	-10.0	5.0	-5.324400564174894	15.749871664360999	0.5914988461274944	-6.483738302584783	-4.1650628257650055
3	right_shank	-5.0	-15.0	5.0	-4.2825112107623315	19.60140245277153	0.7578340015232558	-5.767865853747913	-2.7971565677767503
