	sub_id	filename_prefix	tracked_point	event_type	ix_ref	ix_pred
93	pp156	sub-pp156_task-walkPreferred	left_shank	FC	1138	1135
94	pp156	sub-pp156_task-walkPreferred	left_shank	FC	1360	1357
95	pp156	sub-pp156_task-walkPreferred	right_shank	IC	39	40
96	pp156	sub-pp156_task-walkPreferred	right_shank	IC	255	258
97	pp156	sub-pp156_task-walkPreferred	right_shank	IC	465	465
98	pp156	sub-pp156_task-walkPreferred	right_shank	IC	671	672
99	pp156	sub-pp156_task-walkPreferred	right_shank	IC	889	889
100	pp156	sub-pp156_task-walkPreferred	right_shank	IC	1099	1103
101	pp156	sub-pp156_task-walkPreferred	right_shank	IC	1327	1329
102	pp156	sub-pp156_task-walkPreferred	right_shank	FC	181	176
103	pp156	sub-pp156_task-walkPreferred	right_shank	FC	388	
104	pp156	sub-pp156_task-walkPreferred	right_shank	FC	597	593
105	pp156	sub-pp156_task-walkPreferred	right_shank	FC	815	811
106	pp156	sub-pp156_task-walkPreferred	right_shank	FC	1028	
107	pp156	sub-pp156_task-walkPreferred	right_shank	FC	1248	
108	pp156	sub-pp156_task-walkSlow	left_ankle	IC	186	187
109	pp156	sub-pp156_task-walkSlow	left_ankle	IC	436	435
110	pp156	sub-pp156_task-walkSlow	left_ankle	IC	695	697
111	pp156	sub-pp156_task-walkSlow	left_ankle	IC	950	
112	pp156	sub-pp156_task-walkSlow	left_ankle	IC	1196	1200
113	pp156	sub-pp156_task-walkSlow	left_ankle	IC	1435	1437
114	pp156	sub-pp156_task-walkSlow	left_ankle	IC	1687	1690
115	pp156	sub-pp156_task-walkSlow	left_ankle	IC	1944	1945
116	pp156	sub-pp156_task-walkSlow	left_ankle	IC	2200	2196
117	pp156	sub-pp156_task-walkSlow	left_ankle	FC	103	102
118	pp156	sub-pp156_task-walkSlow	left_ankle	FC	368	365
119	pp156	sub-pp156_task-walkSlow	left_ankle	FC	615	612
120	pp156	sub-pp156_task-walkSlow	left_ankle	FC	871	869
121	pp156	sub-pp156_task-walkSlow	left_ankle	FC	1126	1124
122	pp156	sub-pp156_task-walkSlow	left_ankle	FC	1375	1374
123	pp156	sub-pp156_task-walkSlow	left_ankle	FC	1611	1610
124	pp156	sub-pp156_task-walkSlow	left_ankle	FC	1867	1866
125	pp156	sub-pp156_task-walkSlow	left_ankle	FC	2130	2128
126	pp156	sub-pp156_task-walkSlow	left_ankle	FC	2402	2400
127	pp156	sub-pp156_task-walkSlow	right_ankle	IC	31	
128	pp156	sub-pp156_task-walkSlow	right_ankle	IC	315	315
129	pp156	sub-pp156_task-walkSlow	right_ankle	IC	568	567
130	pp156	sub-pp156_task-walkSlow	right_ankle	IC	823	824
131	pp156	sub-pp156_task-walkSlow	right_ankle	IC	1081	1082
132	pp156	sub-pp156_task-walkSlow	right_ankle	IC	1321	
133	pp156	sub-pp156_task-walkSlow	right_ankle	IC	1569	1570
134	pp156	sub-pp156_task-walkSlow	right_ankle	IC	1815	1817
135	pp156	sub-pp156_task-walkSlow	right_ankle	IC	2076	2078
136	pp156	sub-pp156_task-walkSlow	right_ankle	IC	2351	2349
137	pp156	sub-pp156_task-walkSlow	right_ankle	FC	238	238
138	pp156	sub-pp156_task-walkSlow	right_ankle	FC	488	489
139	pp156	sub-pp156_task-walkSlow	right_ankle	FC	746	744
140	pp156	sub-pp156_task-walkSlow	right_ankle	FC	1002	1001
141	pp156	sub-pp156_task-walkSlow	right_ankle	FC	1244	1246
142	pp156	sub-pp156_task-walkSlow	right_ankle	FC	1490	1491
143	pp156	sub-pp156_task-walkSlow	right_ankle	FC	1736	1739
144	pp156	sub-pp156_task-walkSlow	right_ankle	FC	1988	1988
145	pp156	sub-pp156_task-walkSlow	right_ankle	FC	2255	2257
146	pp156	sub-pp156_task-walkSlow	left_shank	IC	186	189
147	pp156	sub-pp156_task-walkSlow	left_shank	IC	436	444
148	pp156	sub-pp156_task-walkSlow	left_shank	IC	695	698
149	pp156	sub-pp156_task-walkSlow	left_shank	IC	950	954
150	pp156	sub-pp156_task-walkSlow	left_shank	IC	1196	1204
151	pp156	sub-pp156_task-walkSlow	left_shank	IC	1435	
