	participant_type	task	tracked_point	median	mean	sd	se	lower_lim	upper_lim
70	MS	Preferred	right_shank	5	8.9	16.0	2.6	3.8	14.1
71	OA	Preferred	right_shank	0	-5.3	12.3	3.2	-11.6	0.9
72	PD	Preferred	right_shank	-15	-15.6	18.3	2.3	-20.1	-11.2
73	YA	Preferred	right_shank	-5	-7.3	14.0	1.9	-11.0	-3.5
74	cLBP	Preferred	right_shank	-5	-4.1	29.5	8.9	-21.5	13.3
75	other	Preferred	right_shank	-7.5	-9.1	19.6	4.9	-18.7	0.5
76	stroke	Preferred	right_shank	0	-2.0	15.8	3.0	-7.8	3.9
77	MS	Slow	right_shank	10	9.4	22.3	3.0	3.6	15.2
78	OA	Slow	right_shank	0	-19.0	33.3	7.3	-33.3	-4.8
79	PD	Slow	right_shank	-15	-18.9	26.2	3.1	-24.9	-12.9
80	YA	Slow	right_shank	0	-0.6	12.4	1.5	-3.5	2.2
81	cLBP	Slow	right_shank	-10	-10.0	15.4	4.3	-18.4	-1.6
82	other	Slow	right_shank	-25	-23.9	38.3	8.0	-39.6	-8.3
83	stroke	Slow	right_shank	5	2.7	22.8	3.7	-4.6	10.1
